*  ymin  ymax pTmin pTmax   yav  pTav         cs   stat  uncor   fitm   fitr   nrbk   cobk   bins   trig   trac   vtxq   muid   hdid   angd   brat   lumi   ffrc
* 1st y bin *
    2.5   3.0   0.0   1.0  2.25  0.50    0.22000  18.18  13.62   1.20   0.40   1.90   0.30   0.10   2.60   4.40   0.20   0.80   0.80   0.10  10.00   3.50  10.00
    2.5   3.0   1.0   2.0  2.25  1.50    0.59000  11.86  11.93   1.20   0.40   1.90   0.30   0.10   2.60   4.40   0.20   0.80   0.80   0.10  10.00   3.50  10.00
    2.5   3.0   2.0   3.0  2.25  2.50    0.74000   9.46  10.86   1.20   0.40   1.90   0.30   0.10   2.60   4.40   0.20   0.80   0.80   0.10  10.00   3.50  10.00
    2.5   3.0   3.0   4.0  2.25  3.50    0.94000   7.45  10.47   1.20   0.40   1.90   0.30   0.10   2.60   4.40   0.20   0.80   0.80   0.10  10.00   3.50  10.00
    2.5   3.0   4.0   5.0  2.25  4.50    0.78000   7.69   9.57   1.20   0.40   1.90   0.30   0.10   2.60   4.40   0.20   0.80   0.80   0.10  10.00   3.50  10.00
    2.5   3.0   5.0   6.0  2.25  5.50    0.62000   8.06  10.73   1.20   0.40   1.90   0.30   0.10   2.60   4.40   0.20   0.80   0.80   0.10  10.00   3.50  10.00
    2.5   3.0   6.0   7.0  2.25  6.50    0.47000   8.51   8.76   1.20   0.40   1.90   0.30   0.10   2.60   4.40   0.20   0.80   0.80   0.10  10.00   3.50  10.00
    2.5   3.0   7.0   8.0  2.25  7.50    0.32000   9.38   9.96   1.20   0.40   1.90   0.30   0.10   2.60   4.40   0.20   0.80   0.80   0.10  10.00   3.50  10.00
    2.5   3.0   8.0   9.0  2.25  8.50    0.22000   9.09   6.40   1.20   0.40   1.90   0.30   0.10   2.60   4.40   0.20   0.80   0.80   0.10  10.00   3.50  10.00
    2.5   3.0   9.0  10.0  2.25  9.50    0.20000  10.00   8.94   1.20   0.40   1.90   0.30   0.10   2.60   4.40   0.20   0.80   0.80   0.10  10.00   3.50  10.00
