!
! The data are taken from arXiv:0908.3914
!
! Measurement of $d\sigma/dy$ of Drell-Yan $e^+e^-$ pairs
! in the $Z$ Mass Region from $p\bar{p}$ Collisions at
! $\sqrt{s}=1.96$ TeV
!
! By CDF Collaboration. March 2010
!
!
&Data
   Name = 'CDF Z rapidity 2010'
   Reaction  = 'NC ppbar'

   NDATA = 28
   NColumn = 16
   ColumnType = 2*'Bin','Sigma',13*'Error',
!   ColumnName = 'y1','y2','sigma','stat','CDF_ZY_lum','CDF_ZY_background_CC:A','CDF_ZY_background_CF:A','CDF_ZY_background_FF:A','CDF_ZY_CID','CDF_ZY_FID','CDF_ZY_CMaterial','CDF_ZY_FMaterial','CDF_ZY_ZVtx','CDF_ZY_Trkeff','CDF_ZY_NoTrk','ignore' 
   ColumnName = 'y1','y2','sigma','stat','CDF_ZY_lum','CDF_ZY_background_CC:A','CDF_ZY_background_CF:A','CDF_ZY_background_FF:A','uncor','uncor','CDF_ZY_CMaterial','CDF_ZY_FMaterial','CDF_ZY_ZVtx','CDF_ZY_Trkeff','CDF_ZY_NoTrk','ignore' 

   NInfo   = 2
   CInfo    = 'theoryunit','ppbar'
   DataInfo = 2000.,1.
   IndexDataset = 83

  TheoryType     = 'expression'
  TermName = 'A1'
  TermType = 'applgrid'
  TermSource = 'theoryfiles/tevatron/wzinclusive/grid-40-6-15-3-Z0_zycdf.root'
  TheorExpr= 'A1'

   Percent   = 13*False    ! absolute errors
&End
&PlotDesc
    PlotN = 1
    PlotDefColumn = 'y2'
    PlotDefValue = 0., 5.
    PlotOptions(1)  = 'Experiment:CDF@ExtraLabel:p#bar{p} #rightarrow Z; #sqrt{s} = 1.96 TeV; #int L = 2.1 fb^{-1}@XTitle: y_{Z} @YTitle: d#sigma/dy_{Z} [pb] '
!@YminR:0.61@YmaxR:1.39'

&End
*y1    	   y2     sigma      stat.    lum      B(CC)    B(CP)    B(PP)    CID      PID      CMat     PMat     ZVtx     Trkeff   NoTrk   Tot errors 
0.0000   0.1000   69.4600    0.7300   -4.1676  -0.0220  -0.0302   0.0000  -0.2836  -0.0199   0.3220   0.2334   0.0000   0.0000   0.0000   4.1963
0.1000   0.2000   71.0300    0.7400   -4.2618  -0.0210  -0.0391   0.0000  -0.2899  -0.0377   0.3169   0.2313   0.0000   0.0000   0.0000   4.2900
0.2000   0.3000   71.1000    0.7400   -4.2660  -0.0187  -0.0655   0.0000  -0.2905  -0.0695   0.3048   0.2241   0.0000   0.0000   0.0000   4.2937
0.3000   0.4000   70.0100    0.7200   -4.2006  -0.0172  -0.0905   0.0000  -0.2853  -0.1026   0.2880   0.2134   0.0000   0.0000   0.0000   4.2278
0.4000   0.5000   67.9700    0.7000   -4.0782  -0.0138  -0.1078   0.0000  -0.2768  -0.1309   0.2677   0.2002   0.0000   0.0000   0.0000   4.1048
0.5000   0.6000   68.2200    0.7000   -4.0932  -0.0131  -0.1381   0.0000  -0.2772  -0.1598   0.2569   0.1939   0.0000   0.0000   0.0000   4.1206
0.6000   0.7000   66.5800    0.6900   -3.9948  -0.0111  -0.1498   0.0000  -0.2703  -0.1809   0.2391   0.1823   0.0000   0.0000   0.0000   4.0221
0.7000   0.8000   66.8100    0.7000   -4.0086  -0.0084  -0.1697   0.0000  -0.2719  -0.2180   0.2283   0.1760   0.0000   0.0000   0.0000   4.0376
0.8000   0.9000   65.0500    0.6900   -3.9030  -0.0056  -0.1876   0.0000  -0.2660  -0.2513   0.2110   0.1646   0.0000   0.0000   0.0000   3.9337
0.9000   1.0000   64.7000    0.6900   -3.8820  -0.0036  -0.1819   0.0000  -0.2666  -0.2860   0.1987   0.1571   0.0000   0.0000   0.0000   3.9141
1.0000   1.1000   62.7400    0.6700   -3.7644  -0.0015  -0.2115  -0.0035  -0.2510  -0.3001   0.1818   0.1458   0.0008  -0.0027   0.0005   3.7977
1.1000   1.2000   62.0200    0.6600   -3.7212  -0.0006  -0.2131  -0.0297  -0.2451  -0.2972   0.1689   0.1377   0.0073  -0.0163   0.0044   3.7536
1.2000   1.3000   58.8000    0.6500   -3.5280   0.0000  -0.2413  -0.0438  -0.2193  -0.2835   0.1500   0.1245   0.0261  -0.0559   0.0155   3.5605
1.3000   1.4000   56.0200    0.6500   -3.3612   0.0000  -0.1995  -0.1032  -0.1797  -0.2541   0.1332   0.1128   0.0548  -0.0504   0.0323   3.3885
1.4000   1.5000   53.3700    0.6300   -3.2022   0.0000  -0.1949  -0.1411  -0.1406  -0.2163   0.1176   0.1019   0.0867  -0.0490   0.0510   3.2273
1.5000   1.6000   50.0700    0.6200   -3.0042   0.0000  -0.1817  -0.1489  -0.1068  -0.1787   0.1017   0.0905   0.1150  -0.0409   0.0682   3.0268
1.6000   1.7000   46.5900    0.6100   -2.7954   0.0000  -0.1597  -0.1685  -0.0719  -0.1456   0.0865   0.0794   0.1380  -0.0462   0.0825   2.8171
1.7000   1.8000   40.9700    0.5800   -2.4582   0.0000  -0.1122  -0.2115  -0.0402  -0.1047   0.0690   0.0656   0.1477  -0.0608   0.0895   2.4810
1.8000   1.9000   37.0400    0.5600   -2.2224   0.0000  -0.0827  -0.2142  -0.0196  -0.0791   0.0560   0.0554   0.1540  -0.0980   0.0905   2.2464
1.9000   2.0000   33.0200    0.5500   -1.9812   0.0000  -0.0529  -0.2074  -0.0071  -0.0632   0.0442   0.0460   0.1494  -0.1151   0.0891   2.0056
2.0000   2.1000   27.6500    0.5200   -1.6590   0.0000  -0.0331  -0.1529  -0.0017  -0.0502   0.0322   0.0357   0.1303  -0.0955   0.0791   1.6775
2.1000   2.2000   21.8400    0.4900   -1.3104   0.0000  -0.0184  -0.1638  -0.0003  -0.0392   0.0217   0.0259   0.1041  -0.0918   0.0621   1.3305
2.2000   2.3000   18.3500    0.5000   -1.1010   0.0000   0.0000  -0.1360   0.0000  -0.0354   0.0150   0.0199   0.0877  -0.0937   0.0515   1.1188
2.3000   2.4000   14.1300    0.4900   -0.8478   0.0000   0.0000  -0.1093   0.0000  -0.0293   0.0091   0.0139   0.0676  -0.0894   0.0410   0.8638
2.4000   2.5000    8.8000    0.4500   -0.5280   0.0000   0.0000  -0.0569   0.0000  -0.0208   0.0042   0.0077   0.0421  -0.0634   0.0256   0.5376
2.5000   2.6000    5.6800    0.4400   -0.3408   0.0000   0.0000  -0.0637   0.0000  -0.0150   0.0017   0.0044   0.0272  -0.0526   0.0167   0.3525
2.6000   2.7000    2.9300    0.4100   -0.1758   0.0000   0.0000  -0.1449   0.0000  -0.0081   0.0004   0.0020   0.0140  -0.0333   0.0083   0.2310
2.7000   2.9000    0.8700    0.2200   -0.0522   0.0000   0.0000  -0.1061   0.0000  -0.0040  -0.0001   0.0004   0.0042  -0.0133   0.0026   0.1192
