*  ymin  ymax pTmin pTmax   yav  pTav         cs   stat  uncor   slrc   yidt   prid   trac   brat   lumi   ffrc
* 1st y bin *
    3.0   3.5   6.0   7.0  3.25  6.50    2.99000  11.04   6.40   1.60   2.50   1.00   6.00   1.30   3.50   2.70
    3.0   3.5   7.0   8.0  3.25  7.50    1.25000  21.60   8.10   1.60   2.50   1.00   6.00   1.30   3.50   2.70
* 4th y bin *
    3.5   4.0   0.0   1.0  3.75  0.50   80.41000   5.21   1.28   1.60   2.50   1.00   6.00   1.30   3.50   2.70
    3.5   4.0   1.0   2.0  3.75  1.50  112.64000   4.01   1.84   1.60   2.50   1.00   6.00   1.30   3.50   2.70
    3.5   4.0   2.0   3.0  3.75  2.50   58.25000   3.47   2.31   1.60   2.50   1.00   6.00   1.30   3.50   2.70
    3.5   4.0   3.0   4.0  3.75  3.50   22.65000   4.42   5.36   1.60   2.50   1.00   6.00   1.30   3.50   2.70
    3.5   4.0   4.0   5.0  3.75  4.50    9.89000   6.27   5.53   1.60   2.50   1.00   6.00   1.30   3.50   2.70
    3.5   4.0   5.0   6.0  3.75  5.50    4.88000   8.81   6.08   1.60   2.50   1.00   6.00   1.30   3.50   2.70
    3.5   4.0   6.0   7.0  3.75  6.50    2.33000  14.59   7.44   1.60   2.50   1.00   6.00   1.30   3.50   2.70
    3.5   4.0   7.0   8.0  3.75  7.50    1.14000  30.70  11.71   1.60   2.50   1.00   6.00   1.30   3.50   2.70
* 5th y bin *
    4.0   4.5   0.0   1.0  4.25  0.50   57.37000   9.36   4.39   1.60   2.50   1.00   6.00   1.30   3.50   2.70
    4.0   4.5   1.0   2.0  4.25  1.50   81.57000   6.37   3.78   1.60   2.50   1.00   6.00   1.30   3.50   2.70
    4.0   4.5   2.0   3.0  4.25  2.50   39.87000   6.42   5.49   1.60   2.50   1.00   6.00   1.30   3.50   2.70
    4.0   4.5   3.0   4.0  4.25  3.50   15.50000   8.32   5.93   1.60   2.50   1.00   6.00   1.30   3.50   2.70
    4.0   4.5   4.0   5.0  4.25  4.50    5.69000  15.29   7.17   1.60   2.50   1.00   6.00   1.30   3.50   2.70
    4.0   4.5   5.0   6.0  4.25  5.50    3.22000  30.43  12.01   1.60   2.50   1.00   6.00   1.30   3.50   2.70
